mission_id,solve,t_rel_s,n_animals_perceived,v_commanded_left_flank,v_commanded_dorsal,v_commanded_right_flank
F1,0,172.13,4,1.0,1.0,0.25
F1,1,179.74,4,0.9375,1.0,0.2344
F1,2,185.97,4,0.875,1.0,0.25
F1,3,193.95,4,0.875,1.0,0.2969
F1,4,204.03,4,0.8906,1.0,0.8125
F1,5,214.39,4,0.8594,1.0,0.8125
F1,6,221.01,4,0.75,1.0,1.0
F1,7,227.13,4,0.8594,1.0,0.8281
F1,8,234.89,4,0.8438,1.0,0.7969
F1,9,241.48,4,0.8594,1.0,0.8594
F1,10,247.12,4,0.9219,1.0,0.9062
F1,11,253.36,4,0.75,1.0,0.9531
F1,12,259.62,4,0.875,1.0,0.9062
F1,13,267.27,4,0.8906,1.0,0.9062
F1,14,275.07,4,0.75,1.0,0.9531
F1,15,282.09,4,1.0,1.0,0.9531
F1,16,288.18,4,0.75,1.0,0.9531
F1,17,294.24,4,1.0,1.0,1.0
F1,18,300.24,4,1.0,1.0,1.0
F1,19,306.1,4,1.0,1.0,1.0
F1,20,312.06,4,1.0,1.0,0.75
F1,21,318.06,4,1.0,1.0,0.75
F1,22,324.08,4,1.0,1.0,0.5
F1,23,330.19,4,0.75,1.0,0.75
F1,24,337.43,4,0.75,1.0,0.75
F1,25,344.28,4,0.75,1.0,1.0
F1,26,351.72,4,0.75,1.0,0.75
F1,27,359.54,4,0.75,1.0,1.0
F1,28,366.78,4,0.75,1.0,1.0
F1,29,373.83,4,0.75,1.0,0.75
F1,30,381.11,4,0.75,1.0,1.0
F1,31,388.2,4,0.75,1.0,1.0
F1,32,395.88,4,0.75,1.0,0.9531
F1,33,403.02,4,0.75,1.0,1.0
F1,34,410.29,4,0.5,1.0,0.875
F1,35,418.4,5,0.8,1.0,1.0
F1,36,425.24,4,0.5,1.0,0.75
F1,37,431.69,5,0.8,1.0,0.6375
F1,38,437.53,4,1.0,1.0,0.5
F1,39,444.77,4,0.75,1.0,1.0
F1,40,451.72,4,0.5,1.0,0.75
