mission_id,day,mission_start,solve_idx,herd_in_epoch,solve_start_epoch,iters_end_epoch,swarm_out_epoch,compute_time_s,herd_to_out_s,n_iter_ticks,s_per_tick
F1,210226,15:40,0,1771685025.383,1771685025.465,1771685033.965,1771685034.103,8.64,8.72,18,0.48
F1,210226,15:40,1,1771685034.37,1771685034.465,1771685041.465,1771685041.719,7.25,7.35,15,0.48
F1,210226,15:40,2,1771685041.961,1771685041.972,1771685047.465,1771685047.948,5.98,5.99,12,0.5
F1,210226,15:40,3,1771685047.961,1771685047.972,1771685055.965,1771685055.928,7.96,7.97,17,0.47
F1,210226,15:40,4,1771685056.377,1771685056.465,1771685065.975,1771685066.006,9.54,9.63,20,0.48
F1,210226,15:40,5,1771685066.369,1771685066.465,1771685075.982,1771685076.36,9.9,9.99,20,0.49
F1,210226,15:40,6,1771685076.379,1771685076.467,1771685082.97,1771685082.987,6.52,6.61,14,0.47
F1,210226,15:40,7,1771685083.364,1771685083.465,1771685088.966,1771685089.106,5.64,5.74,12,0.47
F1,210226,15:40,8,1771685089.364,1771685089.465,1771685096.965,1771685096.867,7.4,7.5,16,0.46
F1,210226,15:40,9,1771685097.359,1771685097.465,1771685103.465,1771685103.455,5.99,6.1,13,0.46
F1,210226,15:40,10,1771685103.958,1771685103.965,1771685108.967,1771685109.093,5.13,5.13,11,0.47
F1,210226,15:40,11,1771685109.36,1771685109.465,1771685114.974,1771685115.335,5.87,5.97,12,0.49
F1,210226,15:40,12,1771685115.357,1771685115.467,1771685121.465,1771685121.6,6.13,6.24,13,0.47
F1,210226,15:40,13,1771685121.765,1771685121.966,1771685128.965,1771685129.248,7.28,7.48,15,0.49
F1,210226,15:40,14,1771685129.368,1771685129.465,1771685136.969,1771685137.048,7.58,7.68,16,0.47
F1,210226,15:40,15,1771685137.365,1771685137.467,1771685143.968,1771685144.064,6.6,6.7,14,0.47
F1,210226,15:40,16,1771685144.355,1771685144.465,1771685149.966,1771685150.156,5.69,5.8,12,0.47
F1,210226,15:40,17,1771685150.36,1771685150.466,1771685155.967,1771685156.219,5.75,5.86,12,0.48
F1,210226,15:40,18,1771685156.364,1771685156.465,1771685161.965,1771685162.214,5.75,5.85,12,0.48
F1,210226,15:40,19,1771685162.357,1771685162.465,1771685167.969,1771685168.08,5.61,5.72,12,0.47
F1,210226,15:40,20,1771685168.361,1771685168.465,1771685173.972,1771685174.038,5.57,5.68,12,0.46
F1,210226,15:40,21,1771685174.357,1771685174.465,1771685179.97,1771685180.035,5.57,5.68,12,0.46
F1,210226,15:40,22,1771685180.362,1771685180.465,1771685185.967,1771685186.058,5.59,5.7,12,0.47
F1,210226,15:40,23,1771685186.367,1771685186.465,1771685191.969,1771685192.162,5.7,5.79,12,0.47
F1,210226,15:40,24,1771685192.359,1771685192.465,1771685199.465,1771685199.407,6.94,7.05,15,0.46
F1,210226,15:40,25,1771685199.959,1771685199.972,1771685205.966,1771685206.259,6.29,6.3,13,0.48
F1,210226,15:40,26,1771685206.359,1771685206.465,1771685213.465,1771685213.698,7.23,7.34,15,0.48
F1,210226,15:40,27,1771685213.964,1771685213.965,1771685221.466,1771685221.52,7.55,7.56,16,0.47
F1,210226,15:40,28,1771685221.776,1771685221.965,1771685228.465,1771685228.752,6.79,6.98,14,0.48
F1,210226,15:40,29,1771685228.964,1771685228.976,1771685235.465,1771685235.804,6.83,6.84,14,0.49
F1,210226,15:40,30,1771685235.962,1771685235.972,1771685242.968,1771685243.081,7.11,7.12,15,0.47
F1,210226,15:40,31,1771685243.371,1771685243.465,1771685249.965,1771685250.172,6.71,6.8,14,0.48
F1,210226,15:40,32,1771685250.361,1771685250.466,1771685257.965,1771685257.86,7.39,7.5,16,0.46
