behaviour,config_idx,n_animals,n_drones,spread_std_x_m,spread_std_z_m,spread_std_m,forward_velocity_ms,orientation_entropy_std_deg
grazing,0,20,2,10.0,10.0,,,
grazing,1,20,2,10.0,20.0,,,
grazing,2,20,2,10.0,30.0,,,
grazing,3,20,2,20.0,10.0,,,
grazing,4,20,2,20.0,20.0,,,
grazing,5,20,2,20.0,30.0,,,
grazing,6,20,2,30.0,10.0,,,
grazing,7,20,2,30.0,20.0,,,
grazing,8,20,2,30.0,30.0,,,
grazing,9,20,4,10.0,10.0,,,
grazing,10,20,4,10.0,20.0,,,
grazing,11,20,4,10.0,30.0,,,
grazing,12,20,4,20.0,10.0,,,
grazing,13,20,4,20.0,20.0,,,
grazing,14,20,4,20.0,30.0,,,
grazing,15,20,4,30.0,10.0,,,
grazing,16,20,4,30.0,20.0,,,
grazing,17,20,4,30.0,30.0,,,
grazing,18,20,6,10.0,10.0,,,
grazing,19,20,6,10.0,20.0,,,
grazing,20,20,6,10.0,30.0,,,
grazing,21,20,6,20.0,10.0,,,
grazing,22,20,6,20.0,20.0,,,
grazing,23,20,6,20.0,30.0,,,
grazing,24,20,6,30.0,10.0,,,
grazing,25,20,6,30.0,20.0,,,
grazing,26,20,6,30.0,30.0,,,
grazing,27,30,2,10.0,10.0,,,
grazing,28,30,2,10.0,20.0,,,
grazing,29,30,2,10.0,30.0,,,
grazing,30,30,2,20.0,10.0,,,
grazing,31,30,2,20.0,20.0,,,
grazing,32,30,2,20.0,30.0,,,
grazing,33,30,2,30.0,10.0,,,
grazing,34,30,2,30.0,20.0,,,
grazing,35,30,2,30.0,30.0,,,
grazing,36,30,4,10.0,10.0,,,
grazing,37,30,4,10.0,20.0,,,
grazing,38,30,4,10.0,30.0,,,
grazing,39,30,4,20.0,10.0,,,
grazing,40,30,4,20.0,20.0,,,
grazing,41,30,4,20.0,30.0,,,
grazing,42,30,4,30.0,10.0,,,
grazing,43,30,4,30.0,20.0,,,
grazing,44,30,4,30.0,30.0,,,
grazing,45,30,6,10.0,10.0,,,
grazing,46,30,6,10.0,20.0,,,
grazing,47,30,6,10.0,30.0,,,
grazing,48,30,6,20.0,10.0,,,
grazing,49,30,6,20.0,20.0,,,
grazing,50,30,6,20.0,30.0,,,
grazing,51,30,6,30.0,10.0,,,
grazing,52,30,6,30.0,20.0,,,
grazing,53,30,6,30.0,30.0,,,
grazing,54,40,2,10.0,10.0,,,
grazing,55,40,2,10.0,20.0,,,
grazing,56,40,2,10.0,30.0,,,
grazing,57,40,2,20.0,10.0,,,
grazing,58,40,2,20.0,20.0,,,
grazing,59,40,2,20.0,30.0,,,
grazing,60,40,2,30.0,10.0,,,
grazing,61,40,2,30.0,20.0,,,
grazing,62,40,2,30.0,30.0,,,
grazing,63,40,4,10.0,10.0,,,
grazing,64,40,4,10.0,20.0,,,
grazing,65,40,4,10.0,30.0,,,
grazing,66,40,4,20.0,10.0,,,
grazing,67,40,4,20.0,20.0,,,
grazing,68,40,4,20.0,30.0,,,
grazing,69,40,4,30.0,10.0,,,
grazing,70,40,4,30.0,20.0,,,
grazing,71,40,4,30.0,30.0,,,
grazing,72,40,6,10.0,10.0,,,
grazing,73,40,6,10.0,20.0,,,
grazing,74,40,6,10.0,30.0,,,
grazing,75,40,6,20.0,10.0,,,
grazing,76,40,6,20.0,20.0,,,
grazing,77,40,6,20.0,30.0,,,
grazing,78,40,6,30.0,10.0,,,
grazing,79,40,6,30.0,20.0,,,
grazing,80,40,6,30.0,30.0,,,
grazing,81,60,2,10.0,10.0,,,
grazing,82,60,2,10.0,20.0,,,
grazing,83,60,2,10.0,30.0,,,
grazing,84,60,2,20.0,10.0,,,
grazing,85,60,2,20.0,20.0,,,
grazing,86,60,2,20.0,30.0,,,
grazing,87,60,2,30.0,10.0,,,
grazing,88,60,2,30.0,20.0,,,
grazing,89,60,2,30.0,30.0,,,
grazing,90,60,4,10.0,10.0,,,
grazing,91,60,4,10.0,20.0,,,
grazing,92,60,4,10.0,30.0,,,
grazing,93,60,4,20.0,10.0,,,
grazing,94,60,4,20.0,20.0,,,
grazing,95,60,4,20.0,30.0,,,
grazing,96,60,4,30.0,10.0,,,
grazing,97,60,4,30.0,20.0,,,
grazing,98,60,4,30.0,30.0,,,
grazing,99,60,6,10.0,10.0,,,
grazing,100,60,6,10.0,20.0,,,
grazing,101,60,6,10.0,30.0,,,
grazing,102,60,6,20.0,10.0,,,
grazing,103,60,6,20.0,20.0,,,
grazing,104,60,6,20.0,30.0,,,
grazing,105,60,6,30.0,10.0,,,
grazing,106,60,6,30.0,20.0,,,
grazing,107,60,6,30.0,30.0,,,
travelling,0,20,2,,,10.0,0.5,
travelling,1,20,2,,,10.0,1.0,
travelling,2,20,2,,,10.0,1.5,
travelling,3,20,2,,,20.0,0.5,
travelling,4,20,2,,,20.0,1.0,
travelling,5,20,2,,,20.0,1.5,
travelling,6,20,2,,,30.0,0.5,
travelling,7,20,2,,,30.0,1.0,
travelling,8,20,2,,,30.0,1.5,
travelling,9,20,4,,,10.0,0.5,
travelling,10,20,4,,,10.0,1.0,
travelling,11,20,4,,,10.0,1.5,
travelling,12,20,4,,,20.0,0.5,
travelling,13,20,4,,,20.0,1.0,
travelling,14,20,4,,,20.0,1.5,
travelling,15,20,4,,,30.0,0.5,
travelling,16,20,4,,,30.0,1.0,
travelling,17,20,4,,,30.0,1.5,
travelling,18,20,6,,,10.0,0.5,
travelling,19,20,6,,,10.0,1.0,
travelling,20,20,6,,,10.0,1.5,
travelling,21,20,6,,,20.0,0.5,
travelling,22,20,6,,,20.0,1.0,
travelling,23,20,6,,,20.0,1.5,
travelling,24,20,6,,,30.0,0.5,
travelling,25,20,6,,,30.0,1.0,
travelling,26,20,6,,,30.0,1.5,
travelling,27,30,2,,,10.0,0.5,
travelling,28,30,2,,,10.0,1.0,
travelling,29,30,2,,,10.0,1.5,
travelling,30,30,2,,,20.0,0.5,
travelling,31,30,2,,,20.0,1.0,
travelling,32,30,2,,,20.0,1.5,
travelling,33,30,2,,,30.0,0.5,
travelling,34,30,2,,,30.0,1.0,
travelling,35,30,2,,,30.0,1.5,
travelling,36,30,4,,,10.0,0.5,
travelling,37,30,4,,,10.0,1.0,
travelling,38,30,4,,,10.0,1.5,
travelling,39,30,4,,,20.0,0.5,
