run_id,behaviour,N_a,sigma,herd_idx,M,rep,min_sep,herd_seed,pso_seed,V1,V2,V3,minV,per_animal_min_mean,per_animal_min_p10,Omega,Delta,Lambda_dist,Lambda_idle,convergence_iter,poses,status,t_solve
grazing_N100_s100_h0_M1_r0_ms2.5,grazing,100,100.0,0,1,0,2.5,2072704986791287117,6285146115021587221,0.01,0.0,0.01,0.0,0.0,0.0,9.998207630481366e-05,0.0001624908195584,0.6153090776237757,1.0,93,"[[-134.1649169921875, 30.0, -194.0950927734375, 12.543536276129855, -76.41511720946735]]",ok,9.202905654907228
grazing_N100_s100_h0_M1_r1_ms2.5,grazing,100,100.0,0,1,1,2.5,2072704986791287117,3744290493780294464,0.01,0.01,0.0,0.0,0.0,0.0,9.99998681850222e-05,0.0001851546460607,0.5400883548568169,1.0,91,"[[-230.57574462890625, 30.0, -97.85881042480469, 85.61135867568682, -89.99]]",ok,10.577682733535768
grazing_N100_s100_h0_M1_r2_ms2.5,grazing,100,100.0,0,1,2,2.5,2072704986791287117,4336780634004575106,0.14,0.14,0.03,0.03,0.0,0.0,9.999998476268117e-05,0.0005600315677569,0.1785613356818354,1.0,89,"[[-29.674795150756836, 30.0, -25.495765686035156, 360.0, -59.01036396065431]]",ok,9.77481746673584
grazing_N100_s100_h0_M1_r3_ms2.5,grazing,100,100.0,0,1,3,2.5,2072704986791287117,2945351184318567066,0.91,0.3675,0.38875,0.3675,0.0,0.0,0.0124756974131551,0.0124756974131551,1.0,1.0,98,"[[76.98372650146484, 30.0, -191.7655487060547, 258.1000291446, -22.257229526648626]]",ok,11.278425216674805
grazing_N100_s100_h0_M1_r4_ms2.5,grazing,100,100.0,0,1,4,2.5,2072704986791287117,4188114400813383541,0.02,0.0,0.0,0.0,0.0,0.0,9.999985060076456e-05,0.0002640125794264,0.3787692647751722,1.0,98,"[[-217.4617156982422, 30.0, 126.28814697265625, 358.109383134843, -73.57590201490315]]",ok,10.412732124328612
grazing_N100_s100_h0_M2_r0_ms2.5,grazing,100,100.0,0,2,0,2.5,2072704986791287117,5435069823201162257,1.0,0.71625,0.74,0.71625,0.49625,0.0,0.0187774381414255,0.0239631935725117,0.7835949780485517,1.0,100,"[[-4.818089962005615, 30.0, 157.76930236816406, 62.267889823733405, -23.23037618899968], [107.0599594116211, 45.0, -179.3426971435547, 226.61222332580402, -30.30389928127786]]",ok,17.13242220878601
grazing_N100_s100_h0_M2_r1_ms2.5,grazing,100,100.0,0,2,1,2.5,2072704986791287117,645437965382696529,0.56,0.3326785714285714,0.25,0.25,0.0,0.0,9.997671534949257e-05,0.0003236712431565,0.3088835275400791,1.0,96,"[[179.17884826660156, 30.0, 78.02965545654297, 100.68497395782155, -79.15345359320187], [-82.61062622070312, 45.0, 260.0290222167969, 33.33376111691237, -49.047507620501065]]",ok,14.651809930801392
grazing_N100_s100_h0_M2_r2_ms2.5,grazing,100,100.0,0,2,2,2.5,2072704986791287117,2716172616221164057,0.17,0.06,0.08,0.06,0.0,0.0,9.999876507796063e-05,0.0043014185475117,0.023247857415737,1.0,96,"[[79.09557342529297, 30.0, -105.86260986328125, 163.68777198335314, -88.42382193054138], [-88.3414535522461, 45.0, -77.3088607788086, 145.4802510377935, -53.37758585454374]]",ok,14.254274845123293
grazing_N100_s100_h0_M2_r3_ms2.5,grazing,100,100.0,0,2,3,2.5,2072704986791287117,4050875999594451895,0.1,0.04,0.05,0.04,0.0,0.0,9.999994948862664e-05,0.0016724526815787,0.0597923938835923,1.0,99,"[[-22.39478302001953, 30.0, -54.300018310546875, 114.20396320731177, -73.57154025507994], [-187.1647186279297, 45.0, -241.57041931152344, 314.3835088193402, -60.52195621540649]]",ok,17.422521352767944
grazing_N100_s100_h0_M2_r4_ms2.5,grazing,100,100.0,0,2,4,2.5,2072704986791287117,9213873899664565818,0.24,0.11,0.07,0.07,0.0,0.0,9.999932577704683e-05,0.0007958580630969,0.1256496986258009,1.0,93,"[[100.29106140136719, 30.0, 47.68419647216797, 173.61149128707743, -61.247875050362445], [79.40168762207031, 45.0, -251.62353515625, 170.48765275359435, -23.752974427162936]]",ok,15.20002508163452
